rider,timestamp,ax,ay,az,deviation,lat,lng,speed_kmh,accuracy,road_tag
anonymous,1777117234834,0.030,-5.345,-7.857,0.3078,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234850,2.269,-6.195,-7.758,0.3736,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234866,0.421,-5.898,-7.302,0.4138,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234884,-0.934,-5.493,-8.094,0.0168,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234900,0.689,-5.146,-8.932,0.5211,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234917,0.618,-4.714,-9.026,0.3921,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234934,0.233,-5.527,-7.999,0.0846,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234951,2.122,-6.161,-7.401,0.0505,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234967,0.667,-6.180,-7.181,0.3119,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117234984,-1.199,-5.724,-8.271,0.3198,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117235001,0.257,-5.070,-8.906,0.4414,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117235017,0.666,-5.062,-9.028,0.5618,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117235034,-0.268,-5.480,-7.923,0.1726,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117235051,1.530,-6.053,-7.651,0.0655,49.107530,16.728992,0.3,2.0,unknown
anonymous,1777117235066,1.874,-6.193,-7.453,0.0596,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235084,-1.630,-5.269,-7.327,0.6396,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235100,0.119,-5.300,-9.092,0.7143,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235117,0.520,-5.123,-8.758,0.3500,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235134,-0.519,-5.094,-8.244,0.1055,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235151,1.081,-5.711,-8.190,0.2325,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235167,1.333,-6.109,-7.593,0.0261,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235184,-1.253,-5.724,-7.142,0.5720,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235200,-0.527,-5.414,-8.706,0.4557,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235217,-0.109,-5.226,-8.771,0.4009,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235234,-0.369,-5.203,-8.815,0.4323,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235251,-0.267,-5.176,-8.216,0.0960,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235267,1.183,-5.651,-8.264,0.2711,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235284,-0.855,-6.057,-7.852,0.1435,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235302,-1.286,-5.741,-7.478,0.2954,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235316,-0.478,-5.251,-8.450,0.1504,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235334,-0.007,-4.909,-9.599,0.9715,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235350,-0.039,-4.870,-8.567,0.0451,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235367,0.681,-5.131,-8.681,0.2969,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235384,-0.762,-5.977,-7.689,0.0418,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235401,-1.167,-5.769,-7.591,0.2046,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235417,-0.156,-5.160,-8.543,0.1716,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235433,0.054,-4.808,-9.182,0.5550,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235451,-0.117,-4.913,-8.632,0.1232,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235467,0.473,-5.270,-8.592,0.2812,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235484,-0.307,-5.531,-7.634,0.3779,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235501,-1.066,-5.549,-7.446,0.4629,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235517,-0.158,-5.360,-8.353,0.1161,49.107533,16.728990,0.3,2.0,unknown
